question	choice_A	choice_B	choice_C	choice_D	answer
30°N附近地区在95°E和110°E两条经线处太阳辐射总量差别最大读“我国与全球同纬度太阳辐射总量对比图”。完成1～2题。图示我国不同地区年太阳辐射总量差异最大的地区在（）	20ºN附近	25ºN附近	30ºN附近	35ºN附近	C
30°N附近地区在95°E和110°E两条经线处太阳辐射总量差别最大读“我国与全球同纬度太阳辐射总量对比图”。完成1～2题。我国东南地区年太阳辐射总量较同纬度全球平均值低，其主要原因是我国东南地区（）	白昼时间短	云雨天气多	地势低平	洋流影响大	B
②的15—64岁中青年人比重大下表为世界、中国、印度、德国人口年龄构成和抚养比（2008年）统计表。抚养比指0一14岁和65岁及以上人口与15-64岁人口之比。据此完成下列各题。②国抚养比低的最主要原因是	老年人口比重大	青壮年人口比重大	儿童人口比重大	社会保障体系完善	B
1950年乙出生率和死亡率都较高，出生率大于死亡率。甲的出生率和死亡率都较低。1850-2000年甲的出生率大于死亡率。图3为“甲、乙两国人口变化曲线”，读图完成6~8题：图3甲、乙两国人口变化曲线有关甲乙两国人口增长模式的叙述，正确的是	1900～1950年两国人口增长模式皆为传统型	1850～1950年甲国人口增长模式为传统型	1950～2000年乙国人口增长模式为原始型	20世纪末甲国的人口增长模式已是现代型	B
2000年乙出生率较高，死亡率较低。图3为“甲、乙两国人口变化曲线”，读图完成6~8题：从图中可以看出，人口增长模式的转变开始于	出生率的下降	死亡率的下降	自然增长率的下降	自然增长率上升	B
2000年乙出生率较高，死亡率较低。图3为“甲、乙两国人口变化曲线”，读图完成6~8题：目前人口增长模式与乙国2000年人口增长模式一致的是	英国	日本	印度	新西兰	C
该功能区人口流量大，且人口密度昼夜差别大。读某功能区人口密度日变化示意图图中反映的城市功能区是()	住宅区	工业区	商业中心	行政中心	C
第一产业的就业人数基本没有变化。第三产业的就业人数从1985年开始超过第二产业。2000年第三产业的就业人数小于70%。读 “鲁尔区三大产业就业人数变化示意图”，回答下列下面小题。关于图中内容的叙述，正确的是（ ）	三大产业的就业人数均发生了很大变化	第三产业的就业人数从1985年开始超过第二产业	2000年第三产业的就业人数比重达80 %	第二产业减少的人数分别补充到第三产业和第一产业中	B
第一产业的就业人数基本没有变化。第三产业的就业人数从1985年开始超过第二产业。2000年第三产业的就业人数小于70%。读 “鲁尔区三大产业就业人数变化示意图”，回答下列下面小题。图示内容最能直接反映鲁尔区振兴的综合整治措施是（ ）	拓展交通，完善交通网	发展科技，繁荣经济	消除污染，美化环境	调整产业结构	D
第一产业的就业人数基本没有变化。第三产业的就业人数从1985年开始超过第二产业。2000年第三产业的就业人数小于70%。读 “鲁尔区三大产业就业人数变化示意图”，回答下列下面小题。下列经济活动能促进鲁尔区第三产业就业人数增长的是（ ）	将废弃矿点改建成工业博物馆、休闲公园	将炼钢高炉建到荷兰海边	兴建废弃物和污水处理厂	扩大市郊养殖场规模，满足城市的需求	A
总体上，甲的河床高度低于乙的河床高度。（2016•全国） 某河流位于浙江东部，下游河床受径流与潮汐共同影响：枯水期，以潮流带来的泥沙淤积为主；汛期，上游下泄的径流冲刷河床。图2示意该河下游某地1962年两个时期河床断面形态，其中，甲是河床最低时期的断面。1964年在该河上游建成水库；2000年，在该河河口建成大型水闸。据此完成以下问题。2000年，在该河河口建成大型水闸，床断面形态从甲至乙的变化过程发生在（ ）	1~3月	3~6月	6~9月	9~12月	D
总体上，甲的河床高度低于乙的河床高度。（2016•全国） 某河流位于浙江东部，下游河床受径流与潮汐共同影响：枯水期，以潮流带来的泥沙淤积为主；汛期，上游下泄的径流冲刷河床。图2示意该河下游某地1962年两个时期河床断面形态，其中，甲是河床最低时期的断面。1964年在该河上游建成水库；2000年，在该河河口建成大型水闸。据此完成以下问题。2000年，在该河河口建成大型水闸，库竣工后，水库下游河流（ ）	径流量增大	河道淤积	流速加快	河床展宽	B
由图中某城市主要功能用地面积空间变化可以判断,离中心近付租能力强的是商业及公共服务其次是住宅,住宅是城市中最为广泛的土地利用方式;最外围是工业区.如图为我国某城市主要功能用地面积空间变化图．读图完成下题．该城市主要功能用地集中区由市中心向外依次是（ ）	商业及公共服务、住宅、工业	住宅、商业及公共服务、工业	商业及公共服务、工业、住宅	住宅、工业、商业及公共服务	A
距市中心4千米附近工业发展是因为离市场近,劳动力丰富如图为我国某城市主要功能用地面积空间变化图．读图完成下题．距市中心4千米附近工业发展的主要区位优势是（ ）	政策、劳动力	市场、劳动力	地租、市场	政策、地租	B
大致北京时间6:00——21:00到达地面的太阳辐射为正值。又12:00——14:00之间到达地面的太阳辐射减少。读我国某地某日测试记录的到达地面的太阳辐射日变化示意图。完成下列各题该日日期及天气状况可能是	3月12日 晴朗	6月5日 晴朗	3月22日多云	6月20日 多云	D
北京时间6:00和21：00时辐射为0读我国某地某日测试记录的到达地面的太阳辐射日变化示意图。完成下列各题该地可能位于	祁连山地	大兴安岭	南沙群岛	帕米尔高原	A
2020年之前，我国农村60岁以上人口比例大于城市。中国正“跑步”进入老龄化社会，而且在人口老龄化过程中，很长一段时期内，表现出农村人口老龄化程度高于城市的特点，即“城乡倒置”现象。读图完成下列问题。图中2020年之前，我国人口老龄化现象的主要原因是（ ）	农村环境好，人口寿命长	城市的人口死亡率低于农村	农村青壮年人口大量外出	城市老年人口大量进入农村	C
2040年之前，我国农村60岁以上人口比例大于城市。中国正“跑步”进入老龄化社会，而且在人口老龄化过程中，很长一段时期内，表现出农村人口老龄化程度高于城市的特点，即“城乡倒置”现象。读图完成下列问题。为缓解我国目前人口老龄化的“城乡倒置”现象，下列措施可行的是（ ）	农村地区放开生育政策	鼓励城市人口大量迁入农村	完善农村医疗保险制度	促进农村劳动力就地转移	D
Y地全年降水量较少，全年可能蒸发量小该表是X、Y地全年降水量、实际蒸发量和可能蒸发量各月数据表，完成8-9题。Y地气候类型，最可能是	热带沙漠气候	温带沙漠气候	极地气候	季风气候	A
X地可能蒸发量远远大于实际蒸发量该表是X、Y地全年降水量、实际蒸发量和可能蒸发量各月数据表，完成8-9题。X地最可能分布在	中亚地区	澳大利亚	南部非洲地区	东南亚地区	A
1982-2007年城市面积增长率和城市人口增长率都大于0。读“我国1982～2007年土地城市化和人口城市化对比关系图”，回答下列问题。1982～2007年，我国	城市人口正逐渐减少	土地城市化与人口城市化变化趋势相反	城市化水平增速缓慢	总体看，城市面积增幅大于城市人口增幅	D
1982-2007年城市面积总体增幅大于城市人口增幅。读“我国1982～2007年土地城市化和人口城市化对比关系图”，回答下列问题。图示信息显示，1982～2007年我国城市化进程中面临的突出问题是	城市人口过快增长	交通拥堵日益加重	土地资源浪费严重	环境污染逐步加剧	C
氧气生产量在1-3月和11-12月较低，接近于0。在5-9月氧气生产力较高。下图示意我国某省1900年和2009年天然氧气生产量状况。读图完成下列各题。该省最可能是	广东	湖北	江苏	黑龙江	D
1900年氧气生产量大于2009年。下图示意我国某省1900年和2009年天然氧气生产量状况。读图完成下列各题。导致该省2009年氧气生产量小于1900年的主要原因是	植被破坏	水土流失	气候变暖	围湖造田	A
